time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/10/19/10:29:01.215038,14946,1729301341,125187623,gps,2,0,37.238847299999996,126.77292,29.696,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:01.346172,14947,1729301341,250187602,gps,2,0,37.238848,126.77292039999999,29.699,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:01.466018,14948,1729301341,375187581,gps,2,0,37.2388488,126.7729208,29.7,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:01.585014,14949,1729301341,500187560,gps,2,0,37.2388496,126.77292109999999,29.703,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:01.710748,14950,1729301341,625187538,gps,2,0,37.2388505,126.7729215,29.702,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:01.835462,14951,1729301341,750187517,gps,2,0,37.238851499999996,126.7729219,29.703,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.00032399999999999996)",2
2024/10/19/10:29:01.952920,14952,1729301341,875187496,gps,2,0,37.2388524,126.77292229999999,29.704,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.089532,14953,1729301342,187475,gps,2,0,37.238853399999996,126.7729227,29.706,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.213274,14954,1729301342,125187454,gps,2,0,37.2388544,126.7729231,29.707,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
2024/10/19/10:29:02.337717,14955,1729301342,250187433,gps,2,0,37.2388554,126.77292329999999,29.705000000000002,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.000361)",2
